Year,Month,YearMonth,StaffMember,IncidentCount,AvgDaysToClose
2026,7,2026-07,AER,2,2.8245
2026,7,2026-07,BS8,5,2.6183
2026,7,2026-07,RS6,1,0.7327
2026,6,2026-06,AER,11,7.0103
2026,6,2026-06,BS8,30,6.6141
2026,6,2026-06,RS6,12,12.091
2026,5,2026-05,AER,8,12.6734
2026,5,2026-05,BS8,16,11.7465
2026,5,2026-05,RS6,15,8.229
2026,4,2026-04,AER,17,8.7836
2026,4,2026-04,BS8,24,15.3791
2026,4,2026-04,RS6,24,6.8471
2026,3,2026-03,AER,8,8.5853
2026,3,2026-03,BS8,52,9.6195
2026,3,2026-03,RS6,41,14.2017
2026,2,2026-02,AER,29,9.5308
2026,2,2026-02,BS8,15,22.0268
2026,2,2026-02,RS6,49,13.1956
2026,1,2026-01,AER,14,10.7303
2026,1,2026-01,BS8,58,4.9323
2026,1,2026-01,RS6,38,14.2368
2025,12,2025-12,AER,7,10.9299
2025,12,2025-12,BS8,19,19.9494
2025,12,2025-12,RS6,34,28.2995
2025,11,2025-11,AER,12,15.2992
2025,11,2025-11,BS8,22,19.9063
2025,11,2025-11,RS6,38,11.2692
2025,10,2025-10,AER,19,8.5422
2025,10,2025-10,BS8,32,10.7843
2025,10,2025-10,RS6,38,24.4642
2025,9,2025-09,AER,16,15.0499
2025,9,2025-09,BS8,43,12.7247
2025,9,2025-09,RS6,37,12.9886
2025,8,2025-08,AER,12,14.2025
2025,8,2025-08,BS8,33,25.6511
2025,8,2025-08,KLT,20,8.632
2025,8,2025-08,RS6,21,15.2261
2025,7,2025-07,AER,20,39.2312
2025,7,2025-07,BS8,22,15.0076
2025,7,2025-07,KLT,24,26.4551
2025,7,2025-07,RS6,32,14.3235
2025,6,2025-06,AER,9,23.0296
2025,6,2025-06,BS8,23,19.7384
2025,6,2025-06,KLT,23,6.6388
2025,6,2025-06,RS6,20,24.9721
2025,5,2025-05,AER,7,22.1487
2025,5,2025-05,BS8,31,24.7018
2025,5,2025-05,KLT,18,18.9118
2025,5,2025-05,RS6,28,10.2831
2025,4,2025-04,AER,11,9.4829
2025,4,2025-04,BS8,22,15.3457
2025,4,2025-04,KLT,10,5.23
2025,4,2025-04,RS6,36,16.6168
2025,3,2025-03,AER,10,25.413
2025,3,2025-03,BS8,28,13.2252
2025,3,2025-03,KLT,19,14.6611
2025,3,2025-03,RS6,32,23.6202
2025,2,2025-02,AER,11,5.8746
2025,2,2025-02,BS8,30,26.0582
2025,2,2025-02,KLT,4,18.2809
2025,2,2025-02,RS6,22,16.887
2025,1,2025-01,AER,14,16.192
2025,1,2025-01,BS8,16,42.267
2025,1,2025-01,KLT,14,24.0816
2025,1,2025-01,RS6,49,30.2885
2024,12,2024-12,AER,11,6.4608
2024,12,2024-12,BS8,5,3.7469
2024,12,2024-12,KLT,16,14.4684
2024,12,2024-12,RS6,29,40.0609
2024,11,2024-11,AER,16,54.2671
2024,11,2024-11,BS8,10,95.9266
2024,11,2024-11,KLT,17,18.0328
2024,11,2024-11,RS6,51,21.5139
2024,10,2024-10,AER,30,69.9601
2024,10,2024-10,BS8,34,15.1452
2024,10,2024-10,KLT,21,9.6214
2024,10,2024-10,RS6,24,13.9644
2024,9,2024-09,AER,9,159.6503
2024,9,2024-09,BS8,21,18.5514
2024,9,2024-09,KLT,23,133.9144
2024,9,2024-09,RS6,47,24.0136
